Perl,,"Definitely lost",,"Indirectly lost",,"Possibly lost",,"Still reachable",,Suppressed,,"ERROR SUMMARY",,,
version,Config,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,bytes,blocks,errors,contexts,suppressed,from
5.022001,x86_64-linux-thread-multi-ld,107,1,856,8,1448,21,61974,543,0,0,22,22,0,0
5.022002,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.022002,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.022003,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.022003,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023000,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023001,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023001,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023002,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023002,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023003,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023003,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023004,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023004,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023005,x86_64-linux,0,0,0,0,1448,21,61830,543,0,0,21,21,0,0
5.023005,x86_64-linux-thread-multi-ld,107,1,856,8,1448,21,62046,543,0,0,22,22,0,0
5.023006,x86_64-linux,0,0,0,0,1448,21,61830,543,0,0,21,21,0,0
5.023006,x86_64-linux-thread-multi-ld,107,1,856,8,1448,21,62046,543,0,0,22,22,0,0
5.023007,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023007,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023008,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023008,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.023009,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.023009,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.024000,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.024000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.024001,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.024001,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.025000,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.025000,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.025001,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.025001,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.025002,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.025002,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.025003,x86_64-linux,0,0,0,0,0,0,7447,21,0,0,0,0,0,0
5.025003,x86_64-linux-thread-multi-ld,107,1,856,8,0,0,7663,21,0,0,1,1,0,0
5.024000,x86_64-linux-thread-multi,20652,19,1187876,4715,0,0,1536,5,0,0,19,19,0,0
5.024000,x86_64-linux-thread-multi-ld,94662,43,69850,33,18200289,62002,13601,37,0,0,2386,2386,0,0
